imagem,classe,area_percentual
mot15_tud_0044.jpg,__background__,87.87337239583334
mot15_tud_0044.jpg,person,12.126627604166666
mot15_tud_0134.jpg,__background__,91.88932291666667
mot15_tud_0134.jpg,person,8.110677083333332
um_000032.png,__background__,97.10917874396135
um_000032.png,bus,1.3758454106280193
um_000032.png,car,1.460654857756307
um_000032.png,person,0.05432098765432099
umm_000005.png,__background__,91.85163714439076
umm_000005.png,bus,0.014170692431561997
umm_000005.png,car,8.13419216317767
uu_000010.png,__background__,97.87761674718196
uu_000010.png,bus,1.8776167471819645
uu_000010.png,train,0.24476650563607086
